,YEAR,INDICATOR,INDICATOR_LABEL,PRODUCT,PRODUCT_LABEL,VALUE,FLAG,FLAG_LABEL,UNIT,UNIT_LABEL
0,2011,105,Area sown,1253.01,"Onions and shallots, green",373450,,,102,Ha
1,2011,105,Area sown,1657.0,"Ginger, raw",48910,,,102,Ha
2,2011,105,Area sown,1234.0,Tomatoes,286450,,,102,Ha
3,2011,105,Area sown,1444.0,Sesame seed,153300,,,102,Ha
4,2011,105,Area sown,1239.01,Okra (Gombo),965680,,,102,Ha
5,2011,105,Area sown,141.0,Soya beans,599350,,,102,Ha
6,2011,105,Area sown,1550.0,Taro,446991,,,102,Ha
7,2011,105,Area sown,113.0,Rice,2269410,,,102,Ha
8,2011,105,Area sown,1520.0,Cassava,4120166,,,102,Ha
9,2011,105,Area sown,112.0,Maize (corn),5456540,,,102,Ha
10,2011,105,Area sown,143.0,Cottonseed,259560,,,102,Ha
11,2011,105,Area sown,1540.0,Yams,4475356,,,102,Ha
12,2011,105,Area sown,1701.0,"Beans, dry",3021175,,,102,Ha
13,2011,105,Area sown,142.0,"Groundnuts, excluding shelled",2353680,,,102,Ha
14,2011,105,Area sown,114.0,Sorghum,4661867,,,102,Ha
15,2011,105,Area sown,118.0,Millet,2827090,,,102,Ha
